label	diff_rgst	age	gender	bh_gender	purchase_power
0	4021	54	NULL	NULL	NULL
0	4006	59	M	N	1
0	3973	44	NULL	NULL	NULL
1	3961	67	NULL	NULL	NULL
0	3956	54	NULL	NULL	NULL
0	3938	70	M	N	NULL
0	3930	37	M	A	3
0	NULL	NULL	NULL	NULL	NULL
0	3894	34	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3845	43	NULL	NULL	NULL
0	3846	37	NULL	NULL	NULL
1	3848	46	NULL	NULL	NULL
0	3815	38	NULL	NULL	NULL
0	3815	45	M	N	2
0	3800	57	NULL	NULL	NULL
1	3801	32	NULL	NULL	NULL
0	3783	44	NULL	NULL	NULL
0	3769	67	NULL	NULL	NULL
0	3750	33	M	M	2
0	3734	43	NULL	NULL	NULL
0	3735	33	NULL	NULL	NULL
0	3734	45	NULL	NULL	NULL
1	3727	31	NULL	NULL	NULL
0	3725	58	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3699	35	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
1	3688	36	F	N	4
1	3683	34	NULL	NULL	NULL
0	3693	30	NULL	NULL	NULL
0	3672	38	NULL	NULL	NULL
0	3665	41	NULL	NULL	NULL
0	1613	34	NULL	NULL	NULL
0	3665	31	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	3644	48	NULL	NULL	NULL
0	3640	60	M	M	2
1	3636	34	NULL	NULL	NULL
0	3629	42	NULL	NULL	NULL
0	3625	45	NULL	NULL	NULL
0	3611	35	NULL	NULL	NULL
0	3611	68	NULL	NULL	NULL
0	3601	37	M	M	3
1	3580	51	NULL	NULL	NULL
1	3570	41	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
1	3537	58	NULL	NULL	NULL
0	3537	54	NULL	NULL	NULL
0	3527	54	NULL	NULL	NULL
0	3526	59	NULL	NULL	NULL
0	3519	41	NULL	NULL	NULL
0	3516	62	M	N	3
1	3506	52	M	N	4
0	3517	53	NULL	NULL	NULL
0	3510	57	NULL	NULL	NULL
0	3507	40	NULL	NULL	NULL
0	3490	63	NULL	NULL	NULL
0	3489	36	NULL	NULL	NULL
0	3484	51	NULL	NULL	NULL
0	3477	43	NULL	NULL	NULL
0	3454	29	NULL	NULL	NULL
0	3440	48	NULL	NULL	NULL
0	3440	35	NULL	NULL	NULL
0	3420	44	F	N	3
0	3428	35	NULL	NULL	NULL
0	3403	74	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	3409	44	NULL	NULL	NULL
0	3409	43	NULL	NULL	NULL
0	3405	41	M	N	NULL
0	3384	28	NULL	NULL	NULL
0	3383	61	NULL	NULL	NULL
0	3360	51	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	3342	43	M	F	2
0	3340	53	M	M	1
0	NULL	NULL	NULL	NULL	NULL
0	3326	39	NULL	NULL	NULL
0	3319	38	NULL	NULL	NULL
1	3309	45	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3275	38	NULL	NULL	NULL
0	3274	59	NULL	NULL	NULL
1	3262	31	NULL	NULL	NULL
0	3258	37	M	M	3
0	3249	49	NULL	NULL	NULL
0	3238	40	M	N	2
0	3202	39	NULL	NULL	NULL
0	3200	27	NULL	NULL	NULL
0	3199	37	NULL	NULL	NULL
0	3181	38	M	M	2
0	3181	34	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
1	3150	42	NULL	NULL	NULL
1	3129	32	NULL	NULL	NULL
0	3119	39	NULL	NULL	NULL
0	3113	29	NULL	NULL	NULL
0	3122	38	NULL	NULL	NULL
0	3121	38	M	N	NULL
0	3119	39	M	A	2
0	NULL	NULL	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	3054	38	NULL	NULL	NULL
0	3061	37	NULL	NULL	NULL
0	3028	45	NULL	NULL	NULL
0	3011	75	NULL	NULL	NULL
0	2965	43	M	N	NULL
0	2962	68	NULL	NULL	NULL
0	2958	46	NULL	NULL	NULL
0	2957	47	NULL	NULL	NULL
1	2953	46	NULL	NULL	NULL
1	2936	36	M	M	1
0	2928	49	NULL	NULL	NULL
1	2918	30	NULL	NULL	NULL
0	2914	64	NULL	NULL	NULL
0	2906	33	NULL	NULL	NULL
0	2906	28	NULL	NULL	NULL
0	2895	54	NULL	NULL	NULL
0	2900	NULL	NULL	NULL	NULL
0	2891	26	NULL	NULL	NULL
0	NULL	NULL	M	M	4
0	2886	32	NULL	NULL	NULL
0	2876	50	NULL	NULL	NULL
0	2873	30	NULL	NULL	NULL
1	2862	56	NULL	NULL	NULL
1	2854	52	NULL	NULL	NULL
0	2857	64	NULL	NULL	NULL
1	2847	43	F	N	2
0	2843	31	NULL	NULL	NULL
0	2835	43	NULL	NULL	NULL
0	2832	47	NULL	NULL	NULL
0	2780	23	NULL	NULL	NULL
0	2779	46	F	F	1
0	2769	63	NULL	NULL	NULL
0	2776	45	NULL	NULL	NULL
0	2762	66	NULL	NULL	NULL
0	2759	38	NULL	NULL	NULL
0	2755	36	M	N	3
0	2756	33	NULL	NULL	NULL
0	2751	57	NULL	NULL	NULL
0	2748	37	NULL	NULL	NULL
0	2752	63	NULL	NULL	NULL
0	2750	36	NULL	NULL	NULL
1	2734	63	NULL	NULL	NULL
1	2736	49	NULL	NULL	NULL
0	2732	63	NULL	NULL	NULL
0	2666	32	M	N	NULL
0	2663	37	NULL	NULL	NULL
0	2706	45	NULL	NULL	NULL
0	2712	31	NULL	NULL	NULL
0	2733	32	NULL	NULL	NULL
0	2665	34	NULL	NULL	NULL
0	2687	33	NULL	NULL	NULL
0	2543	38	NULL	NULL	NULL
0	2684	NULL	NULL	NULL	NULL
0	2543	61	NULL	NULL	NULL
0	2719	54	NULL	NULL	NULL
1	2673	38	F	N	1
0	2706	56	NULL	NULL	NULL
0	2720	70	NULL	NULL	NULL
0	2545	39	M	M	2
0	2565	36	NULL	NULL	NULL
0	2662	44	M	M	4
0	2329	38	F	N	3
0	2540	36	NULL	NULL	NULL
0	2663	49	NULL	NULL	NULL
0	1866	50	NULL	NULL	NULL
0	2721	35	M	N	NULL
0	2671	52	NULL	NULL	NULL
0	2665	34	NULL	NULL	NULL
0	2614	29	NULL	NULL	NULL
0	2666	33	NULL	NULL	NULL
1	2665	32	NULL	NULL	NULL
0	2642	30	NULL	NULL	NULL
0	2470	47	NULL	NULL	NULL
0	2673	33	NULL	NULL	NULL
1	2398	52	NULL	NULL	NULL
0	2629	62	NULL	NULL	NULL
0	2595	27	NULL	NULL	NULL
0	2503	43	NULL	NULL	NULL
0	2605	NULL	NULL	NULL	NULL
0	2623	49	NULL	NULL	NULL
0	2557	31	NULL	NULL	NULL
0	2610	73	NULL	NULL	NULL
0	2517	58	NULL	NULL	NULL
1	2611	29	NULL	NULL	NULL
0	2607	63	NULL	NULL	NULL
0	2576	54	NULL	NULL	NULL
1	2540	48	NULL	NULL	NULL
0	2477	36	NULL	NULL	NULL
0	2385	46	NULL	NULL	NULL
0	2473	36	NULL	NULL	NULL
0	2482	26	NULL	NULL	NULL
0	2519	41	NULL	NULL	NULL
0	2236	37	NULL	NULL	NULL
1	2501	33	NULL	NULL	NULL
0	2474	69	NULL	NULL	NULL
0	2346	57	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2431	33	NULL	NULL	NULL
0	2354	31	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2448	32	NULL	NULL	NULL
1	2441	51	NULL	NULL	NULL
0	2297	48	NULL	NULL	NULL
0	2131	45	M	M	2
0	2430	34	NULL	NULL	NULL
0	2401	38	NULL	NULL	NULL
0	2322	38	NULL	NULL	NULL
0	2414	38	NULL	NULL	NULL
1	2326	24	M	N	2
0	2224	57	NULL	NULL	NULL
0	2407	63	NULL	NULL	NULL
1	2388	35	NULL	NULL	NULL
0	2350	44	M	M	2
0	2276	27	NULL	NULL	NULL
0	2307	39	NULL	NULL	NULL
0	2309	40	NULL	NULL	NULL
1	2256	61	NULL	NULL	NULL
0	2307	36	NULL	NULL	NULL
0	2298	68	NULL	NULL	NULL
0	2269	39	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2214	35	NULL	NULL	NULL
0	2202	33	NULL	NULL	NULL
0	2180	52	NULL	NULL	NULL
0	2182	35	M	N	NULL
0	2163	32	NULL	NULL	NULL
0	1759	35	M	M	2
0	2179	41	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	2183	45	NULL	NULL	NULL
0	2183	30	NULL	NULL	NULL
0	2182	34	NULL	NULL	NULL
0	2183	54	NULL	NULL	NULL
0	2181	30	NULL	NULL	NULL
0	2178	47	NULL	NULL	NULL
0	2182	29	NULL	NULL	NULL
1	2177	62	NULL	NULL	NULL
0	2183	37	NULL	NULL	NULL
0	2130	33	NULL	NULL	NULL
0	2104	26	NULL	NULL	NULL
1	2079	NULL	NULL	NULL	NULL
0	2083	30	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
1	2077	63	F	N	2
0	2056	31	NULL	NULL	NULL
0	2032	50	NULL	NULL	NULL
0	1900	31	NULL	NULL	NULL
0	2035	35	NULL	NULL	NULL
0	2024	47	NULL	NULL	NULL
0	1879	41	M	N	3
0	1990	NULL	NULL	NULL	NULL
0	1993	28	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	1942	31	NULL	NULL	NULL
0	1936	38	NULL	NULL	NULL
0	1944	32	NULL	NULL	NULL
1	1930	39	NULL	NULL	NULL
0	1927	65	NULL	NULL	NULL
0	1927	33	NULL	NULL	NULL
0	1857	34	NULL	NULL	NULL
0	1865	33	NULL	NULL	NULL
0	1873	65	NULL	NULL	NULL
0	1808	41	NULL	NULL	NULL
0	1824	24	NULL	NULL	NULL
1	1823	43	NULL	NULL	NULL
0	1816	36	NULL	NULL	NULL
0	1811	NULL	NULL	NULL	NULL
1	1719	49	NULL	NULL	NULL
0	1772	66	NULL	NULL	NULL
0	1740	37	NULL	NULL	NULL
0	1721	49	NULL	NULL	NULL
0	1704	28	NULL	NULL	NULL
0	1625	68	NULL	NULL	NULL
0	1632	43	NULL	NULL	NULL
0	1713	37	NULL	NULL	NULL
1	NULL	NULL	NULL	NULL	NULL
0	1687	27	NULL	NULL	NULL
0	1676	45	NULL	NULL	NULL
1	1680	32	NULL	NULL	NULL
0	1674	30	NULL	NULL	NULL
0	1657	64	NULL	NULL	NULL
0	1608	54	NULL	NULL	NULL
0	1649	59	NULL	NULL	NULL
1	1624	43	NULL	NULL	NULL
1	1592	40	NULL	NULL	NULL
0	1559	60	NULL	NULL	NULL
0	1498	49	NULL	NULL	NULL
0	4022	NULL	NULL	NULL	NULL
0	4020	37	NULL	NULL	NULL
0	4013	36	NULL	NULL	NULL
0	4005	47	NULL	NULL	NULL
0	4004	55	F	N	NULL
0	3999	36	NULL	NULL	NULL
0	4002	40	NULL	NULL	NULL
0	4002	30	NULL	NULL	NULL
0	4001	51	NULL	NULL	NULL
0	3998	38	NULL	NULL	NULL
0	3998	51	NULL	NULL	NULL
1	3974	44	NULL	NULL	NULL
0	3976	44	NULL	NULL	NULL
0	3961	39	NULL	NULL	NULL
0	3966	33	NULL	NULL	NULL
0	3956	48	NULL	NULL	NULL
0	3950	60	NULL	NULL	NULL
0	3955	38	NULL	NULL	NULL
0	3953	34	M	N	3
0	3946	37	NULL	NULL	NULL
1	3928	44	M	M	3
0	NULL	NULL	NULL	NULL	NULL
0	3919	31	F	A	2
0	3922	35	NULL	NULL	NULL
1	3917	33	NULL	NULL	NULL
0	3911	44	M	N	2
0	3907	48	F	F	3
0	3910	43	NULL	NULL	NULL
0	3904	44	NULL	NULL	NULL
0	3908	54	NULL	NULL	NULL
0	3902	25	NULL	NULL	NULL
0	NULL	NULL	NULL	NULL	NULL
0	3893	44	NULL	NULL	NULL
0	3877	47	NULL	NULL	NULL
0	3880	38	NULL	NULL	NULL
1	3856	41	NULL	NULL	NULL
0	3861	54	NULL	NULL	NULL
0	3852	47	M	M	2
1	3847	47	M	M	3
0	3851	41	F	A	3
0	3848	46	NULL	NULL	NULL
1	3836	42	NULL	NULL	NULL
0	3833	35	M	N	4
1	NULL	NULL	NULL	NULL	NULL
1	3811	57	M	N	1
0	3809	35	NULL	NULL	NULL
0	3796	40	NULL	NULL	NULL
1	3797	73	F	F	2
0	NULL	NULL	M	M	2
0	3793	52	NULL	NULL	NULL
0	3797	50	NULL	NULL	NULL
0	3785	60	NULL	NULL	NULL
0	3784	46	M	N	4
0	3793	45	NULL	NULL	NULL
0	3790	37	NULL	NULL	NULL
0	3790	34	NULL	NULL	NULL
0	3785	38	NULL	NULL	NULL
0	3782	37	NULL	NULL	NULL
0	3776	53	NULL	NULL	NULL
0	3778	40	NULL	NULL	NULL
0	3778	36	NULL	NULL	NULL
0	3775	28	F	F	1
0	NULL	NULL	NULL	NULL	NULL
0	3766	46	F	N	NULL
0	3766	32	NULL	NULL	NULL
