label	max_pay	sum_pay	sum_time	between_time	pv_qty_all	pv_qty_search_all	clct_qty_all	cart2_qty_all
0	5386.22	0	0	159	22	0	0	0
0	667.6	0	0	111	16	2	0	0
0	0.02	0	0	366	3	0	0	0
1	0	0	0	0	0	0	0	0
0	9116	0	0	99	6	0	0	0
0	0	0	0	0	0	0	0	0
0	5941.68	699	1	4	3	0	0	1
0	2768	3767	2	12	35	4	0	5
0	57190	57190	1	5	20	4	0	7
0	3006	1788.9	3	1	4	0	0	0
0	0	0	0	0	0	0	0	0
0	0	0	0	0	4	2	0	0
1	2946	457.7	5	5	16	0	0	0
0	0	0	0	0	2	0	0	0
0	2099	2099	1	14	0	0	0	0
0	0	0	0	0	0	0	0	1
1	2934.87	5833.87	2	1	13	2	0	2
0	0	0	0	0	10	0	0	2
0	0	0	0	0	6	2	0	0
0	1899	70.75	2	1	42	3	0	1
0	10436	0	0	132	2	1	0	0
0	0	0	0	0	0	0	0	0
0	35330	35330	1	5	6	1	0	0
1	0	0	0	0	1	1	0	0
0	0	0	0	0	2	0	1	0
0	634.31	0	0	75	2	2	0	0
0	3342.9	0	0	81	20	1	0	0
0	6111	6111	1	5	1	0	0	9
1	16608	3496	2	14	10	3	0	0
1	10630	0	0	183	13	0	0	0
0	0	0	0	0	1	1	0	0
0	2280.56	0	0	31	2	0	0	0
0	3299	0	0	35	2	0	0	0
0	0	0	0	0	2	0	0	0
0	1256.06	1256.06	1	1	0	0	0	2
1	6299	0	0	165	0	0	0	1
0	41.84	0	0	114	6	1	0	1
0	87.86	7.9	1	1	1	0	0	0
1	11567	3.33	1	23	73	5	1	4
0	6488	3888.27	2	3	1	1	0	0
0	2205.9	0	0	69	1	0	0	0
0	1899	0	0	363	13	1	0	0
0	7298	217	1	14	2	0	1	0
0	3988	8203.5	8	3	0	0	0	0
1	5888	399	1	30	5	1	0	0
1	0	0	0	0	0	0	0	1
0	2799	0	0	39	1	0	0	0
1	0	0	0	0	0	0	0	2
0	0	0	0	0	10	1	2	0
0	8297	8297	1	6	0	0	0	0
0	350.4	0	0	36	3	0	0	0
0	0	0	0	0	3	1	0	0
0	6737	0	0	90	1	0	0	0
1	0	0	0	0	3	0	0	0
0	2188	481.77	4	2	42	4	0	0
0	0	0	0	0	20	2	0	0
0	2999	0	0	31	3	0	1	1
0	834	0	0	147	12	0	0	0
0	3090	0	0	105	14	1	0	0
0	0	0	0	0	11	3	0	1
0	5200	0	0	164	24	1	2	0
0	0	0	0	0	3	0	0	0
0	0	0	0	0	3	0	0	0
0	6089	6089	1	1	15	2	0	4
0	95.68	0	0	50	4	0	0	0
0	3100	0	0	107	0	0	0	0
0	1049	0	0	36	8	0	0	0
1	0	0	0	0	0	0	0	1
0	4994.5	4994.5	1	4	3	0	0	1
0	2149	0	0	44	2	1	0	0
0	3199.2	0	0	48	14	0	0	0
0	3489	0	0	41	1	0	0	0
0	2159	0	0	347	1	1	0	0
0	1726	0	0	133	0	0	0	0
1	9885	10184	2	1	12	0	1	1
0	997	0	0	40	27	0	2	3
0	2994	1498	1	26	13	0	0	0
0	3097.88	6625.5	4	1	6	1	0	1
0	2396.49	0	0	88	7	1	0	0
0	2448	0	0	31	21	1	0	0
1	0	0	0	0	3	3	0	0
0	2999	0	0	60	5	0	0	0
0	0	0	0	0	7	0	0	0
0	0	0	0	0	0	0	0	0
1	0	0	0	0	64	7	0	4
0	2221	2221	1	12	1	1	0	0
0	0	0	0	0	2	0	0	0
0	2397.86	0	0	60	148	37	0	1
0	1880	1880	1	2	0	0	0	1
0	5750	10236	3	8	0	0	0	0
0	2322.8	0	0	209	5	1	0	0
0	13077	387.2	1	24	11	1	3	0
0	399	0	0	308	0	0	0	0
